ASIN,Title,Brand,Latest Selling Price,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Original Price,Last Day Selling Price,Last Day BSR,Estimated Sales,Availability,Category,Gender
952745,Biotique Advanced Organics Argan Oil From Morocco Shampoo,Biotique,251,445,91,4.1,NA,NA,330,330,444,0,1,Shampoo,
739751,Biotique Bio Kelp Shampoo & Thyme Volume Conditioner,Biotique,334,482,3,3.9,NA,NA,449,334,482,0,1,Combos @ Nykaa,
598207,Biotique Disney Kids Cars Apple Twist Shampoo,Biotique,144,471,13,4.4,NA,NA,169,169,471,0,1,Hair Care,
60315,Biotique Disney Baby Bio Green Apple Tearproof Shampoo,Biotique,149,524,61,4.5,NA,NA,175,175,525,0,1,Shampoo & Conditioner,
1506989,Biotique Hairfall Protection Combo For Fine/thinning Hair,Biotique,334,532,5,4.6,NA,NA,449,334,538,0,1,,
952743,Biotique Advanced Organics Banana Deeply Nourishing Shampoo,Biotique,251,527,50,4.3,NA,NA,330,330,540,0,1,Shampoo,
1506996,Biotique Total Anti-hairfall Essentails Combo For Fine/thinning Hair,Biotique,618,569,21,4.2,NA,NA,793,793,556,0,1,,
730077,Biotique Bio Kelp Protein Shampoo for Hair Growth Treatment -Pack of 2,Biotique,158,594,,4.1,NA,NA,198,158,598,0,1,Combos @ Nykaa,
730070,Biotique Bio Green Apple Shampoo & Conditioner - Pack of 2,Biotique,145,597,26,4.1,NA,NA,198,145,597,0,1,Combos @ Nykaa,
730113,Biotique Bio Neem Margosa Anti-Dandruff Shampoo & Conditioner - Pack Of 2,Biotique,158,639,20,4.1,NA,NA,198,158,644,0,1,Combos @ Nykaa,
730082,Biotique Bio Soya Protein Fresh Nourishing Shampoo - Pack Of 2,Biotique,152,696,6,4.1,NA,NA,198,152,695,0,1,Combos @ Nykaa,
952749,Biotique Advanced Organics Apple Cider Vinegar Clarify & Shine Shampoo,Biotique,251,756,22,4.1,NA,NA,330,330,747,0,1,Shampoo,
1488673,Tresemme Smooth & Shine Shampoo + Conditioner,Tresemme,744,525,,4.5,NA,NA,955,718,535,0,1,,
1488672,Tresemme Keratin Smooth Shampoo + Conditioner,Tresemme,629,530,8,4.6,NA,NA,1015,1011,550,0,1,,
3535712,Tresemme Thick & Full Shampoo + Conditioner,Tresemme,690,564,,4.7,NA,NA,840,690,571,0,1,,
430560,Tresemme Keratin Smooth Combo (Buy 1Ltr Shampoo and Get 190ml Conditioner Free),Tresemme,936,560,44,4.5,NA,NA,1170,936,563,0,1,Combos @ Nykaa,
1488674,Tresemme Keratin Smooth Shampoo + Conditioner + Serum,Tresemme,1072,557,,4.4,NA,NA,1365,1072,572,0,1,,
7678,Tresemme Climate Protection Shampoo,Tresemme,488,584,159,4.4,NA,NA,610,488,587,0,1,Shampoo,
982102,Tresemme Keratin Smooth Shampoo + Conditioner with Vega Hair Dryer Combo,Tresemme,1465,653,25,4.3,NA,NA,1839,1686,666,0,1,Combos @ Nykaa,
1031095,Tresemme Thick & Full Shampoo,Tresemme,70,667,8,4.3,NA,NA,70,70,678,0,1,Shampoo,
