ASIN,Title,Brand,Latest BSR,Reviews,Ratings,Sentiment Score,Details Changed,Lowest Original Price,Highest Original Price,Latest Lowest Selling Price,Latest Hightest Selling Price,Last Day Lowest Selling Price,Last Day Highest Selling Price,Last Day BSR,Estimated Sales,Fulfilled,Availability,Category,Gender
B0957SPNDT,BIBA Women Women's Kurtas & Kurtis,Biba,8337,14,4,NA,NA,929,929,929,929,929,929,7698,0,NA,1,Kurtas & Kurtis,
B09D78QLT8,BIBA Women's Regular Fit Shirt,Biba,3948,7,4.3,NA,NA,1279.05,1499,1279.05,1499,1279.05,1499,2161,0,NA,1,Kurtas & Kurtis,
B0957RJW5Z,BIBA Women's Viscose Regular Kurta (MONOCROM17330_Multicolor_38),Biba,8609,1,5,NA,NA,1799,1799,889,889,889,889,7501,0,Fulfilled,1,Kurtas & Kurtis,
B07MHXGXTW,BIBA Women's Cotton Kurta,Biba,5745,159,4,NA,NA,679.36,799,679.36,799,679.36,799,5338,0,NA,1,Kurtas & Kurtis,
B07V6CZZTL,BIBA Women's Cotton Kurta,Biba,8978,156,4,NA,NA,1199,1199,1199,1199,1199,1199,8407,0,NA,1,Kurtas & Kurtis,
B08T1MGD5M,BIBA Women's Synthetic Regular Kurta,Biba,10676,9,4.4,NA,NA,1279,1419,1279,1419,1279,1419,10132,0,NA,1,Kurtas & Kurtis,
B08T1ZC9PQ,BIBA Women Kurta Set,Biba,5858,28,4.3,NA,NA,900,900,900,900,560,560,4943,0,NA,1,Kurtas & Kurtis,
B08T17SWJP,BIBA Women's Cotton Regular Kurta,Biba,8729,66,4.1,NA,NA,800.11,900,800.11,900,800.11,989,8218,0,NA,1,Kurtas & Kurtis,
B09NP6NXK5,BIBA Women's Rayon Salwar Kurta Dupatta,Biba,1592,5,4.1,NA,NA,2499,2969,2499,2969,2499,2969,932,0,NA,1,Kurtas & Kurtis,
B09NP7PQJ6,BIBA Women's Rayon Regular Dress Shirt,Biba,11341,1,5,NA,NA,1239,1239,1239,1239,1239,1239,10361,0,NA,1,Dresses,
B0B5Z6J5VN,BIBA Women Shirt,Biba,7279,2,5,NA,NA,1399,2599,1399,2599,1399,2599,6581,0,NA,1,Shirts,
B0B5Z93H74,BIBA Women Shirt,Biba,1181,4,5,NA,NA,1299,1509,1299,1509,1299,1509,1952,0,NA,1,Kurtas & Kurtis,
B084KVSZZ4,BIBA Women's Wool Regular Kurta,Biba,10372,37,4,NA,NA,1509,1509,1509,1509,1509,1509,9836,0,NA,1,Kurtas & Kurtis,
B09NP78FFW,BIBA Printed Band Collar Flared Womens Kurta,Biba,,13,4.3,NA,NA,939,1000,939,1000,939,1000,,0,NA,1,Kurtas & Kurtis,
B08KQVWH88,BIBA Women's Cotton Kurta,Biba,8750,150,4.1,NA,NA,869,909,869,909,869,909,8075,0,NA,1,Kurtas & Kurtis,
B08T23C5S7,BIBA Women's Cotton Regular Kurta,Biba,2694,27,4,NA,NA,741.88,899,741.88,899,741.88,899,5095,0,NA,1,Kurtas & Kurtis,
B0835916GG,BIBA Women's Cotton Salwar Suit Set,Biba,422,7,4.3,NA,NA,1600,1600,1600,1600,1600,1600,236,0,NA,1,Kurtas & Kurtis,
B094YRP489,BIBA Women's Alpha Regular Shirt (Work WEA16926_Blue_2XL),Biba,9238,3,4.2,NA,NA,1599,1599,784,784,784,784,8052,0,Fulfilled,1,Kurtas & Kurtis,
B08358XSGT,BIBA Women's Cotton Kurta (NEON CAN1568442_Red_2XL (42)),Biba,9560,1,5,NA,NA,2599,2599,1299,1299,1299,1299,8389,0,Fulfilled,1,Kurtas & Kurtis,
B0B5ZFL7WM,BIBA Solid Cotton Straight Fit Womens Kurta,Biba,1217,1,5,NA,NA,799,1599,799,1599,1599,1599,1525,0,NA,1,Kurtas & Kurtis,
B0957QHMHK,BIBA Women's Rayon Regular Kurta (SHIBORI17023_Yellow_38),Biba,3971,6,4.7,NA,NA,1999,1999,989,989,989,989,2204,0,Fulfilled,1,Kurtas & Kurtis,
B0957QPNBT,BIBA Women's Cotton Regular Salwar Suit Set,Biba,5016,6,4.6,NA,NA,2630.94,3179,2630.94,3179,2630.94,3179,4200,0,NA,1,Kurtas & Kurtis,
B08T1JDY6X,BIBA Women's Cotton Regular Kurta,Biba,2630,122,4,NA,NA,1399,1399,1399,1399,1399,1399,5052,0,NA,1,Kurtas & Kurtis,
