ASIN,username,rating,title,date,country,helpful,description,keyword,importance,sentiment_score,magnitude,aspect
B09JNX8DD4,Hrishikesh Gaikwad,5.0 out of 5 stars,Good But vibration sound irritates,29/03/2022 00:00,India,,Good product to buy in this range... Just one thing i noticed... Dont turn it on at 35 degree or more than that.. It switches of when filteration done... And its vibration sound irritates a lot. Thank you,product,0.55247283,0.699999988,0.699999988,Quality
B09JNX8DD4,virendra k.,5.0 out of 5 stars,Right choice,18/04/2022 00:00,India,,One of the best RO and service support,RO,0.198895857,0.899999976,0.899999976,
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,leakage issue,0.4493846,-0.200000003,0.200000003,
B09JNX8DD4,virendra k.,5.0 out of 5 stars,Right choice,18/04/2022 00:00,India,,One of the best RO and service support,One,0.594222665,0.699999988,0.699999988,
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,RO,0.013298069,-0.200000003,0.200000003,
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,motor,0.019725915,-0.200000003,0.200000003,Quality
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,drill machine,0.03137175,-0.100000001,0.100000001,
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,sound,0.044631019,0,0,Quality
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,running,0.059236221,0,0,
B09JNX8DD4,Rahul kankran,5.0 out of 5 stars,Overall RO is good as per price,22/05/2022 00:00,India,,RO is having leakage issue from day 1. During installation it is said that it will be ok after proper running. & RO motor is having heavy sound like a drill machine.,installation,0.063678861,0,0,Service
