ASIN,Details Tag,Present
B09TRLHWM1,Item Dimensions Lxwxh,True
B09TRLHWM1,Country Of Origin,False
B09TRLHWM1,Number Of Drawers,False
B09TRLHWM1,Number Of Puzzle Pieces,False
B09TRLHWM1,Manufacturer,True
B09TRLHWM1,Special Features,True
B09TRLHWM1,Scale,False
B09TRLHWM1,Installation Type,True
B09TRLHWM1,Ice Storage Capacity,False
B09TRLHWM1,Batteries Required,True
B09TRLHWM1,Product Dimensions,False
B09TRLHWM1,Material Type(S),False
B09TRLHWM1,Item Height,False
B09TRLHWM1,Defrost System,True
B09TRLHWM1,Packer,True
B09TRLHWM1,Customer Reviews,True
B09TRLHWM1,Cooling Type,False
B09TRLHWM1,Model Number,False
B09TRLHWM1,Volume Capacity Name,False
B09TRLHWM1,Language:,False
B09TRLHWM1,Date First Available,True
B09TRLHWM1,Control Console,False
B09TRLHWM1,Door Material,False
B09TRLHWM1,Certification,True
B09TRLHWM1,Colour,True
B09TRLHWM1,Noise Level,False
B09TRLHWM1,Voltage,True
B09TRLHWM1,Asin,True
B09TRLHWM1,Freezer Capacity,True
B09TRLHWM1,Capacity,True
B09TRLHWM1,Importer,True
B09TRLHWM1,Manufacturer'S Suggested Maximum Weight,False
B09TRLHWM1,Imported By,False
B09TRLHWM1,Temperature Rating,False
B09TRLHWM1,Material,True
B09TRLHWM1,Remote Control Included?,False
B09TRLHWM1,Wattage,True
B09TRLHWM1,Special Feature,False
B09TRLHWM1,Manufacturer Recommended Age,False
B09TRLHWM1,Item Width,False
B09TRLHWM1,Energy Efficiency,True
B09TRLHWM1,Batteries Included,True
B09TRLHWM1,Door Orientation,True
B0999S3MD4,Drawer Type,False
B0999S3MD4,Best Sellers Rank,True
B0999S3MD4,Batteries,False
B0999S3MD4,Number Of Shelves,False
B0999S3MD4,Brand,True
B0999S3MD4,Bottle Count,False
B0999S3MD4,Item Model Number,False
B0999S3MD4,Color,False
B0999S3MD4,Generic Name,True
B0999S3MD4,Shelf Type,True
B0999S3MD4,Number Of Memory Sticks,False
B0999S3MD4,Included Components,True
B0999S3MD4,Model,True
B0999S3MD4,Item Weight,True
