Keyword,Rank,ASIN,Title,Brand,Latest Selling Price,Original Price,Fulfilled,Present
Hair growth,-1,HOLEEHPAGZWHYGCM,BIOTIQUE Bio Bhringraj Hair Oil  (120 ml),Biotique Hair Oil,117,,TRUE,FALSE
Hair growth,-1,FRNGFHXC5SC8VNNJ,"Earth Rhythm Oil Control Face Serum with 2% Salicylic Acid, for Oily & Acne Prone Skin - 15ml",Earth Rhythm Skin Brightening Cream,269,499,FALSE,FALSE
Hair growth,-1,FRNG8YWRGTHRXEPV,Alna Care Charcoal serum  (150 ml),Alna Care Skin Brightening Cream,199,,FALSE,FALSE
Hair growth,-1,HOLE9EVWUNTTZZ8P,indulekha Bhringa Hair Oil,Indulekha Hair Oil,344,432,TRUE,FALSE
Hair growth,-1,FCWG824STQHBSKAE,Bella vita organic Vitamin C oil control anti acne Face Wash  (200 ml),Bella Vita Organic Face Wash,388,,TRUE,FALSE
Hair growth,-1,SCBGDSRGYF7T2WAX,mCaffeine Exfoliating Coffee Body & Espresso Face Scrub Combo for Tan & Blackheads Removal Scrub  (130 g),Mcaffeine Scrub,379,,TRUE,FALSE
Hair growth,-1,FCWDB5PAJTYJMQQW,LOTUS HERBALS Herbals WHITEGLOW 3 in 1 Deep Cleansing Skin Whitening Facial Foam Face Wash  (50 g),Lotus Herbals Face Wash,121,,TRUE,FALSE
Hair growth,-1,FCKG86HAT59CNBYP,"Biofresh Anti-Tan Facial Kit For Deep Cleanses, Removes Tan, Skin Lightening & Brightening, Suitable Men and Women For All Skin Type - (Set Of 5)  (5 x 50 g)",Biofresh Facial Kit,560,,TRUE,FALSE
Hair growth,-1,FCWFYGA63J8VFMMZ,"WOW SKIN SCIENCE Brightening Vitamin C Foaming  with Built-In Face Brush for deep cleansing - No Parabens, Sulphate, Silicones & Color - 150 ml Face Wash  (150 ml)",Wow Skin Science Face Wash,289,,TRUE,FALSE
Hair growth,-1,FCWGAJZGWG93HHKA,"NIVEA MEN , Deep Impact Intense Clean, for Beard & Face, with Black Carbon, Face Wash  (50 g)",Nivea Face Wash,99,,TRUE,FALSE
Hair growth,-1,FCWG8Z59NWCQRJWZ,"BEARDO Activated Charcoal Anti-Pollution  for Deep Pore Cleaning, 100ml | Removes Dirt & Impurities | Suitable for Acne Prone Skin | For Men Face Wash  (100 ml)",Beardo Face Wash,233,,TRUE,FALSE
Hair growth,-1,FCTFBFNH9ES5HHPC,"Indus Valley 100% Bio Organic Aloe Vera Gel For Skin Acne, Scars, Dark spots Face & Hair Care  (400 ml)",Indus Valley Skin Treatment,381,,TRUE,FALSE
Hair growth,-1,FCWFY34ATEJ2SUWH,GARNIER Men Power White Double Action Charcoal  Face Wash  (150 g),Garnier Face Wash,241,,TRUE,FALSE
Hair growth,-1,FCWDNFZ9RNTNP7A4,"LOTUS HERBALS WhiteGlow 3-In-1 Deep Cleansing Skin Whitening Facial Foam, face wash, for all skin types Face Wash",Lotus Herbals Face Wash,173,205,TRUE,FALSE
Hair growth,-1,FRNG3W4YGYFWVJC7,Fair & Lovely Advanced Multi Vitamin Face Cream 80 Gram,Fair & Lovely Skin Brightening Cream,235,240,FALSE,FALSE
Hair growth,-1,FRNG3W4ACDWKYBY4,Fair & Lovely Advanced Multi Vitamin Face Cream 25 Gram Pack 2  (50 g),Fair & Lovely Skin Brightening Cream,205,,FALSE,FALSE
Hair growth,-1,FRNG3W4BW3FBEVAZ,Fair & Lovely Advanced multi Vitamin Face Cream 80 Gram pack 2  (160 g),Fair & Lovely Skin Brightening Cream,450,,FALSE,FALSE
Hair growth,-1,FRNG4GZMMYFP6GYX,Khadi Essentials Ubtan Foaming Face Wash With Inbuilt Brush for Deep Cleansing For Radiance & Glow  (100 ml),Khadi Essentials Skin Brightening Cream,301,,TRUE,FALSE
Hair growth,-1,FCWGECTZMPSSHYBM,"POND's Bright Beauty Foaming Brush Facewash for Glowing Skin, Deep Clean Pores Face Wash",Pond'S Face Wash,319,399,TRUE,FALSE
Hair growth,-1,FCWEJFU9MA7DGZHG,GARNIER Men Power White Anti-Pollution Double Action Face Wash  (100 g),Garnier Face Wash,180,,TRUE,FALSE
Hair growth,-1,FCWFYFJDZXBCP3ZD,WOW SKIN SCIENCE Foaming Activated Charcoal  with Built-In Face Brush for deep cleansing Face Wash  (100 ml),Wow Skin Science Face Wash,314,,TRUE,FALSE
Hair growth,-1,FRNG6HWRHEEBGV8R,AGIFTO Natural Green Tea Mask Stick Deep Cleansing Oil Control Anti Acne Mask,Agifto Skin Brightening Cream,200,800,TRUE,FALSE
Hair growth,-1,FCKG69KFHY7ZYUZZ,"Biofresh Herbal D-Tan Facial Kit For Deep Cleanses, Removes Tan, Skin Lightening & Brightening, Suitable Men and Women For All Skin Type - (Set Of 5)",Biofresh Facial Kit,225,250,TRUE,FALSE
Hair growth,-1,FRNG5SP4GZUKQUH3,GLAMVEDA MEN Oil Control & Black Head Removing Face Scrub | Paraben Free | 80 gm  (80 g),Glamveda Skin Brightening Cream,199,,TRUE,FALSE
Hair growth,-1,FCWGECTZUGFSSHAB,"POND's Pure Detox Foaming Brush Facewash for Clear Glow, Gentle Exfoliation, Deep Clean Face Wash",Pond'S Face Wash,359,449,TRUE,FALSE
Hair growth,-1,SCBFSFPEAR4TKFAH,"Bella vita organic Coffee Face & Body Scrub For Skin Brightening De-Tan Ayurveda, Exfoliate Knees, Elbows, Face, Scalp, Arms Etc Scrub  (75 g)",Bella Vita Organic Scrub,233,,TRUE,FALSE
Hair growth,-1,FCWFHHKUNU9EFWZQ,WOW SKIN SCIENCE Brightening Vitamin C  For Hyperpigmentation Face Wash,Wow Skin Science Face Wash,184,249,TRUE,FALSE
Hair growth,-1,TNREVJEMTX7X3HDJ,Dabur Gulabari Premium Rose Water Women  (250 ml),Dabur Toner,80,,FALSE,FALSE
Hair growth,-1,FCWFSNP33DFHZUHM,"MamaEarth ""Vitamin C  with Vitamin C and Turmeric for Skin Illumination - 100ml "" Face Wash  (100 ml)",Mamaearth Face Wash,229,,TRUE,FALSE
Hair growth,-1,FCWFG9R6DSGHJEMD,MamaEarth Ubtan Natural  with Turmeric & Saffron Face Wash,Mamaearth Face Wash,398,498,TRUE,FALSE
Hair growth,-1,FCPFZAZUQRTM5ZF9,Lakmé 9to5 Matte Moist Clay Face Mask,Lakmé Face Pack,200,250,TRUE,FALSE
Hair growth,-1,FCWFFZSAGMMN5SCU,BIOTIQUE Papaya Deep Cleanse  100mlX2 Face Wash,Biotique Face Wash,126,200,TRUE,FALSE
