ASIN,username,rating,title,date,description,keyword,importance,sentiment_score,magnitude,Marketplace,likes,dislikes,verified
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",anyone,0.025407157838344574,0.6000000238418579,0.6000000238418579,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,2,Moderate,2022-04-26 00:00:00,"Extremely bad shampoo. Why people give wrong review, please don't do such things as you are becoming a very much part of destroying somebody's hair.  Reviews r very important so please try not to be bad to anyone or hurt anyone. Thanks",Thanks,0.022812554612755775,0.8999999761581421,0.8999999761581421,FLIPKART,0,0,"Certified Buyer , Gurugram"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Not recommended at all,2021-08-31 00:00:00,Very very worst product the product is very bad and the shampoo container itself very old .. They doing cheting business in online pls don't buy from this seller,product,0.6432862281799316,-0.800000011920929,1.7000000476837158,FLIPKART,0,0,"Certified Buyer , Cuddalore"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Not recommended at all,2021-08-31 00:00:00,Very very worst product the product is very bad and the shampoo container itself very old .. They doing cheting business in online pls don't buy from this seller,product,0.20485734939575195,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Cuddalore"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Not recommended at all,2021-08-31 00:00:00,Very very worst product the product is very bad and the shampoo container itself very old .. They doing cheting business in online pls don't buy from this seller,shampoo container,0.10867779701948166,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Cuddalore"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Not recommended at all,2021-08-31 00:00:00,Very very worst product the product is very bad and the shampoo container itself very old .. They doing cheting business in online pls don't buy from this seller,seller,0.02649192325770855,-0.800000011920929,0.800000011920929,FLIPKART,0,0,"Certified Buyer , Cuddalore"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Not recommended at all,2021-08-31 00:00:00,Very very worst product the product is very bad and the shampoo container itself very old .. They doing cheting business in online pls don't buy from this seller,cheting business,0.01668672449886799,-0.699999988079071,0.699999988079071,FLIPKART,0,0,"Certified Buyer , Cuddalore"
SMPFYG2TVPRFSR8A,Madan Barman,1,Very poor,2021-04-30 00:00:00,price is too high than original price,price,0.790107011795044,0.0,0.0,FLIPKART,0,0,"Certified Buyer , Nalbari District"
SMPFYG2TVPRFSR8A,Madan Barman,1,Very poor,2021-04-30 00:00:00,price is too high than original price,price,0.20989298820495605,-0.20000000298023224,0.20000000298023224,FLIPKART,0,0,"Certified Buyer , Nalbari District"
SMPFYG2TVPRFSR8A,Flipkart Customer,1,Did not meet expectations,2020-11-30 00:00:00,Very bad product it was very small in size I can waste my money for this product pls don't buy this product it was giving very small size,product,0.6251581311225891,-0.800000011920929,1.7000000476837158,FLIPKART,0,0,"Certified Buyer , Eluru"
